timestep,intersection,waiting,queue,avg_speed,vehicle_count,current_phase,ev_active,incident_active
3,F3,0,0,13.89,0,0,0,0
3,A4,0,0,13.89,0,0,0,0
3,B4,0,0,13.89,0,0,0,0
3,C4,0,0,13.89,0,0,0,0
3,D4,0,0,13.89,0,0,0,0
3,E4,0,0,13.89,0,0,0,0
3,F4,0,0,13.89,0,0,0,0
3,A5,0,0,13.89,0,0,0,0
3,B5,0,0,13.89,0,0,0,0
3,C5,0,0,13.89,0,0,0,0
3,D5,0,0,13.89,0,0,0,0
3,E5,0,0,13.89,0,0,0,0
3,F5,0,0,13.89,0,0,0,0
4,A0,0,0,13.89,0,0,0,0
4,B0,0,0,13.89,0,0,0,0
4,C0,0,0,13.89,0,0,0,0
4,D0,0,0,13.89,0,0,0,0
4,E0,0,0,13.89,0,0,0,0
4,F0,0,0,13.89,0,0,0,0
4,A1,0,0,13.625,5,0,0,0
4,B1,0,0,13.89,0,0,0,0
4,C1,0,0,13.89,0,0,0,0
4,D1,0,0,13.89,0,0,0,0
4,E1,0,0,13.89,0,0,0,0
4,F1,0,0,13.89,0,0,0,0
4,A2,0,0,13.89,0,0,0,0
4,B2,0,0,13.89,0,0,0,0
4,C2,0,0,13.89,0,0,0,0
4,D2,0,0,13.89,0,0,0,0
4,E2,0,0,13.89,0,0,0,0
4,F2,0,0,13.89,0,0,0,0
4,A3,0,0,13.89,0,0,0,0
4,B3,0,0,13.89,0,0,0,0
4,C3,0,0,13.89,0,0,0,0
4,D3,0,0,13.89,0,0,0,0
4,E3,0,0,13.89,0,0,0,0
4,F3,0,0,13.89,0,0,0,0
4,A4,0,0,13.89,0,0,0,0
4,B4,0,0,13.89,0,0,0,0
4,C4,0,0,13.89,0,0,0,0
4,D4,0,0,13.89,0,0,0,0
4,E4,0,0,13.89,0,0,0,0
4,F4,0,0,13.89,0,0,0,0
4,A5,0,0,13.89,0,0,0,0
4,B5,0,0,13.89,0,0,0,0
4,C5,0,0,13.89,0,0,0,0
4,D5,0,0,13.89,0,0,0,0
4,E5,0,0,13.89,0,0,0,0
4,F5,0,0,13.89,0,0,0,0
5,A0,0,0,13.89,0,0,0,0
5,B0,0,0,13.89,0,0,0,0
5,C0,0,0,13.89,0,0,0,0
5,D0,0,0,13.89,0,0,0,0
5,E0,0,0,13.89,0,0,0,0
5,F0,0,0,13.89,0,0,0,0
5,A1,0,0,13.57,6,0,0,0
5,B1,0,0,13.89,0,0,0,0
5,C1,0,0,13.89,0,0,0,0
5,D1,0,0,13.89,0,0,0,0
5,E1,0,0,13.89,0,0,0,0
5,F1,0,0,13.89,0,0,0,0
5,A2,0,0,13.89,0,0,0,0
5,B2,0,0,13.89,0,0,0,0
5,C2,0,0,13.89,0,0,0,0
5,D2,0,0,13.89,0,0,0,0
5,E2,0,0,13.89,0,0,0,0
5,F2,0,0,13.89,0,0,0,0
5,A3,0,0,13.89,0,0,0,0
5,B3,0,0,13.89,0,0,0,0
5,C3,0,0,13.89,0,0,0,0
5,D3,0,0,13.89,0,0,0,0
5,E3,0,0,13.89,0,0,0,0
5,F3,0,0,13.89,0,0,0,0
5,A4,0,0,13.89,0,0,0,0
5,B4,0,0,13.89,0,0,0,0
5,C4,0,0,13.89,0,0,0,0
5,D4,0,0,13.89,0,0,0,0
5,E4,0,0,13.89,0,0,0,0
5,F4,0,0,13.89,0,0,0,0
5,A5,0,0,13.89,0,0,0,0
5,B5,0,0,13.89,0,0,0,0
5,C5,0,0,13.89,0,0,0,0
5,D5,0,0,13.89,0,0,0,0
5,E5,0,0,13.89,0,0,0,0
5,F5,0,0,13.89,0,0,0,0
6,A0,0,0,13.89,0,0,0,0
6,B0,0,0,13.89,0,0,0,0
6,C0,0,0,13.89,0,0,0,0
6,D0,0,0,13.89,0,0,0,0
6,E0,0,0,13.89,0,0,0,0
6,F0,0,0,13.89,0,0,0,0
6,A1,0,0,13.495,7,0,0,0
6,B1,0,0,13.89,0,0,0,0
6,C1,0,0,13.89,0,0,0,0
6,D1,0,0,13.89,0,0,0,0
6,E1,0,0,13.89,0,0,0,0
6,F1,0,0,13.89,0,0,0,0
6,A2,0,0,13.89,0,0,0,0
6,B2,0,0,13.89,0,0,0,0
6,C2,0,0,13.89,0,0,0,0
6,D2,0,0,13.89,0,0,0,0
6,E2,0,0,13.89,0,0,0,0
6,F2,0,0,13.89,0,0,0,0
6,A3,0,0,13.89,0,0,0,0
6,B3,0,0,13.89,0,0,0,0
6,C3,0,0,13.89,0,0,0,0
6,D3,0,0,13.89,0,0,0,0
6,E3,0,0,13.89,0,0,0,0
6,F3,0,0,13.89,0,0,0,0
6,A4,0,0,13.89,0,0,0,0
6,B4,0,0,13.89,0,0,0,0
6,C4,0,0,13.89,0,0,0,0
6,D4,0,0,13.89,0,0,0,0
6,E4,0,0,13.89,0,0,0,0
6,F4,0,0,13.89,0,0,0,0
6,A5,0,0,13.89,0,0,0,0
6,B5,0,0,13.89,0,0,0,0
6,C5,0,0,13.89,0,0,0,0
6,D5,0,0,13.89,0,0,0,0
6,E5,0,0,13.89,0,0,0,0
6,F5,0,0,13.89,0,0,0,0
7,A0,0,0,13.89,0,0,0,0
7,B0,0,0,13.89,0,0,0,0
7,C0,0,0,13.89,0,0,0,0
7,D0,0,0,13.89,0,0,0,0
7,E0,0,0,13.89,0,0,0,0
7,F0,0,0,13.89,0,0,0,0
7,A1,0,0,13.484,8,0,0,0
7,B1,0,0,13.89,0,0,0,0
7,C1,0,0,13.89,0,0,0,0
7,D1,0,0,13.89,0,0,0,0
7,E1,0,0,13.89,0,0,0,0
7,F1,0,0,13.89,0,0,0,0
7,A2,0,0,13.89,0,0,0,0
7,B2,0,0,13.89,0,0,0,0
7,C2,0,0,13.89,0,0,0,0
7,D2,0,0,13.89,0,0,0,0
7,E2,0,0,13.89,0,0,0,0
7,F2,0,0,13.89,0,0,0,0
7,A3,0,0,13.89,0,0,0,0
7,B3,0,0,13.89,0,0,0,0
7,C3,0,0,13.89,0,0,0,0
7,D3,0,0,13.89,0,0,0,0
7,E3,0,0,13.89,0,0,0,0
7,F3,0,0,13.89,0,0,0,0
7,A4,0,0,13.89,0,0,0,0
7,B4,0,0,13.89,0,0,0,0
7,C4,0,0,13.89,0,0,0,0
7,D4,0,0,13.89,0,0,0,0
7,E4,0,0,13.89,0,0,0,0
7,F4,0,0,13.89,0,0,0,0
7,A5,0,0,13.89,0,0,0,0
7,B5,0,0,13.89,0,0,0,0
7,C5,0,0,13.89,0,0,0,0
7,D5,0,0,13.89,0,0,0,0
7,E5,0,0,13.89,0,0,0,0
7,F5,0,0,13.89,0,0,0,0
8,A0,0,0,13.89,0,0,0,0
8,B0,0,0,13.89,0,0,0,0
8,C0,0,0,13.89,0,0,0,0
8,D0,0,0,13.89,0,0,0,0
8,E0,0,0,13.89,0,0,0,0
8,F0,0,0,13.89,0,0,0,0
8,A1,0,0,13.534,9,0,0,0
8,B1,0,0,13.89,0,0,0,0
8,C1,0,0,13.89,0,0,0,0
8,D1,0,0,13.89,0,0,0,0
8,E1,0,0,13.89,0,0,0,0
8,F1,0,0,13.89,0,0,0,0
8,A2,0,0,13.89,0,0,0,0
8,B2,0,0,13.89,0,0,0,0
8,C2,0,0,13.89,0,0,0,0
8,D2,0,0,13.89,0,0,0,0
8,E2,0,0,13.89,0,0,0,0
8,F2,0,0,13.89,0,0,0,0
8,A3,0,0,13.89,0,0,0,0
8,B3,0,0,13.89,0,0,0,0
8,C3,0,0,13.89,0,0,0,0
8,D3,0,0,13.89,0,0,0,0
8,E3,0,0,13.89,0,0,0,0
8,F3,0,0,13.89,0,0,0,0
8,A4,0,0,13.89,0,0,0,0
8,B4,0,0,13.89,0,0,0,0
8,C4,0,0,13.89,0,0,0,0
8,D4,0,0,13.89,0,0,0,0
8,E4,0,0,13.89,0,0,0,0
8,F4,0,0,13.89,0,0,0,0
8,A5,0,0,13.89,0,0,0,0
8,B5,0,0,13.89,0,0,0,0
8,C5,0,0,13.89,0,0,0,0
8,D5,0,0,13.89,0,0,0,0
8,E5,0,0,13.89,0,0,0,0
8,F5,0,0,13.89,0,0,0,0
9,A0,0,0,13.89,0,0,0,0
9,B0,0,0,13.89,0,0,0,0
9,C0,0,0,13.89,0,0,0,0
9,D0,0,0,13.89,0,0,0,0
9,E0,0,0,13.89,0,0,0,0
9,F0,0,0,13.89,0,0,0,0
9,A1,0,0,13.476,10,0,0,0
9,B1,0,0,13.89,0,0,0,0
9,C1,0,0,13.89,0,0,0,0
9,D1,0,0,13.89,0,0,0,0
9,E1,0,0,13.89,0,0,0,0
9,F1,0,0,13.89,0,0,0,0
9,A2,0,0,13.89,0,0,0,0
9,B2,0,0,13.89,0,0,0,0
9,C2,0,0,13.89,0,0,0,0
9,D2,0,0,13.89,0,0,0,0
9,E2,0,0,13.89,0,0,0,0
9,F2,0,0,13.89,0,0,0,0
9,A3,0,0,13.89,0,0,0,0
9,B3,0,0,13.89,0,0,0,0
9,C3,0,0,13.89,0,0,0,0
9,D3,0,0,13.89,0,0,0,0
9,E3,0,0,13.89,0,0,0,0
9,F3,0,0,13.89,0,0,0,0
9,A4,0,0,13.89,0,0,0,0
